sample_id,ch4_height,co2_height,n2o_height,ecosystem
02212024_001,2006,393953,3476,STD
02212024_002,9218,899450,14548,STD
02212024_003,9347,904394,11583,STD
02212024_004,8420,875112,10668,STD
02212024_005,9304,898373,11510,STD
02212024_006,2277,432883,3781,Short1
02212024_007,2259,474749,3821,Short2
02212024_008,2230,493535,3802,Short3
02212024_009,2229,564854,3815,Short4
02212024_010,2166,570248,3810,Short5
02212024_011,8644,865730,10773,STD
02212024_012,2280,455348,3851,Long1
02212024_013,2265,536707,3810,Long2
02212024_014,2241,612062,3820,Long3
02212024_015,2259,734605,3854,Long4
02212024_016,2185,796298,3861,Long5
02212024_017,9126,886274,11154,STD
02212024_018,2340,813522,3787,NoSource1
02212024_019,2366,803909,3813,NoSource2
02212024_020,2336,768225,3789,NoSource3
02212024_021,2323,777295,3783,NoSource4
02212024_022,2338,780997,3800,NoSource5
02212024_023,9415,902658,11492,STD