ecosystem,co2_ppm,time_elapsed,min_elapsed
Short,473,0,0
Short,477,30,0.5
Short,480,60,1
Short,481,90,1.5
Short,481,120,2
Short,485,150,2.5
Short,490,180,3
Short,497,210,3.5
Short,504,240,4
Short,511,270,4.5
Short,518,300,5
Short,528,330,5.5
Short,537,360,6
Short,547,390,6.5
Short,554,420,7
Short,563,450,7.5
Short,570,480,8
Short,576,510,8.5
Short,584,540,9
Short,587,570,9.5
Short,581,600,10
Long,457,0,0
Long,459,30,0.5
Long,464,60,1
Long,474,90,1.5
Long,485,120,2
Long,496,150,2.5
Long,509,180,3
Long,521,210,3.5
Long,533,240,4
Long,541,270,4.5
Long,552,300,5
Long,562,330,5.5
Long,570,360,6
Long,579,390,6.5
Long,588,420,7
Long,597,450,7.5
NoSource,863,0,0
NoSource,840,30,0.5
NoSource,844,60,1
NoSource,856,90,1.5
NoSource,858,120,2
NoSource,859,150,2.5
NoSource,858,180,3
NoSource,856,210,3.5
NoSource,854,240,4
NoSource,853,270,4.5
NoSource,851,300,5
NoSource,848,330,5.5
NoSource,844,360,6
NoSource,841,390,6.5
NoSource,838,420,7
NoSource,837,450,7.5
NoSource,836,480,8